Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Avg
1921,8.2,999.9,999.9,14.5,18.5,20.7,23.4,24.6,21.8,19.4,15.2,9.6,999.9
1922,8.9,8.9,12.6,14.8,20.1,21.2,24.6,25.5,23.4,21.6,17.7,10.4,17.5
1923,9.5,9.2,12.4,999.9,19.5,24,999.9,23.2,23.6,20.6,17.7,12.3,999.9
1924,8.8,9.6,12.6,16.7,18.9,23.4,24.6,24.2,23.2,19.4,15.4,10.4,17.3
1925,6.1,9.2,15.1,14,19.6,21.2,23.6,24.2,23.6,21,16.4,13.2,17.3
1926,8.9,9.4,11.2,17,22,23.8,23.2,22.4,21.7,20.9,16.3,12.1,17.4
1927,9.5,6.8,13.3,14.5,21.9,21.4,24.9,22.1,22,22.3,17.4,13,17.4
1928,9.8,8.6,11,19.1,22.4,23,24.8,25.9,23.4,20.3,16.2,11.2,18
1929,7.9,8.7,11,16.2,22.7,21.9,23.1,24.6,24.1,20,17.6,9.8,17.3
1930,8.2,9.6,13.6,16.7,19.7,23.1,24,25.3,23.5,20,15.1,12.8,17.6
1931,9.9,9.2,13,15.5,19.2,21.1,22.5,23.8,23.1,20.7,13.5,9.5,16.8
1932,7.4,9.4,12.4,16.1,19,23.2,24.1,24.3,22.8,22.7,15.2,9.2,17.2
1933,7.6,9.9,11.1,12.5,18.9,22.5,22.1,22.1,19.8,17.9,19,11.1,16.2
1934,7.8,6.9,14.1,16.9,20,22.2,24.3,24.3,21.8,19.8,16.2,10,17
1935,9.8,9.1,13.1,15.8,22.7,23.6,22.9,23.8,21.6,20.4,12.3,11.3,17.2
1936,9.7,9.3,12.4,16.3,20,20.7,23.3,23.7,20.9,22.9,16.8,7.9,17
1937,6.2,10.3,14.7,17.4,19,21.5,22.3,22.3,22.7,20.3,15.5,12.8,17.1
1938,8.5,8,8.8,16.2,18.7,21.7,24.3,22.9,21,19.4,13.3,10.8,16.1
1939,9.4,8.9,10.8,16.4,22.9,21,23.1,22.8,22.5,22.5,13.9,11.6,17.2
1940,8.9,10.8,11.4,16,19.2,22.1,22.8,21.4,21,21,15,10.7,16.7
1941,10.7,12.9,10.7,16.2,24.9,21.4,22.9,23.4,20.6,18.9,18,9,17.5
1942,7.6,9.7,11.4,17.3,24.5,23.9,22.7,22,20.5,18.8,14.7,10.3,17
